time,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
1.476219654083252,"(0.4979921877384186, 0.852718710899353)",1,"(0.4944864511489868, 0.8199486136436462)",1,3.074188232421875,1,2.8915863037109375,1
1.4929590225219727,"(0.49878358840942383, 0.863826334476471)",1,"(0.4961475729942322, 0.8236650824546814)",1,3.0877838134765625,1,2.8922882080078125,1
1.509836196899414,"(0.4972712993621826, 0.8703101277351379)",1,"(0.49628743529319763, 0.8290180563926697)",1,3.0810546875,1,2.8985137939453125,1
1.5263628959655762,"(0.4967878758907318, 0.8744652271270752)",1,"(0.4973681569099426, 0.833393394947052)",1,3.0625762939453125,1,2.8817291259765625,1
1.5429840087890625,"(0.49705052375793457, 0.8697763681411743)",1,"(0.501441478729248, 0.845780074596405)",1,3.04803466796875,1,2.891815185546875,1
1.5597586631774902,"(0.49551162123680115, 0.8697141408920288)",1,"(0.5035160779953003, 0.8456317782402039)",1,3.0554962158203125,1,2.8924560546875,1
1.5763237476348877,"(0.49366265535354614, 0.867883026599884)",1,"(0.5010396838188171, 0.8255997896194458)",1,3.0588226318359375,1,2.8472900390625,1
1.5929112434387207,"(0.4956252872943878, 0.8680737614631653)",1,"(0.49598050117492676, 0.8291509747505188)",1,3.0577545166015625,1,2.8489837646484375,1
1.609804391860962,"(0.495443731546402, 0.8629525899887085)",1,"(0.4970201551914215, 0.8334388732910156)",1,3.055145263671875,1,2.848114013671875,1
1.6263480186462402,"(0.49344053864479065, 0.8649842739105225)",1,"(0.5029343962669373, 0.8424814939498901)",1,3.0467987060546875,1,2.85137939453125,1
1.659776210784912,"(0.4909360706806183, 0.8720335960388184)",1,"(0.5045952796936035, 0.848332405090332)",1,3.0403900146484375,1,2.85894775390625,1
1.669970989227295,"(0.49217504262924194, 0.8759271502494812)",1,"(0.505337655544281, 0.855247974395752)",1,3.0208892822265625,1,2.8619842529296875,1
1.6763935089111328,"(0.49429556727409363, 0.8801576495170593)",1,"(0.5017295479774475, 0.8541968464851379)",1,3.015380859375,1,2.8529052734375,1
1.6930217742919922,"(0.49479904770851135, 0.8794708847999573)",1,"(0.5067234039306641, 0.8477357029914856)",1,3.0059967041015625,1,2.835540771484375,1
1.7097859382629395,"(0.4942607581615448, 0.8850517868995667)",1,"(0.507961630821228, 0.8479942083358765)",1,2.9995574951171875,1,2.822906494140625,1
1.7264058589935303,"(0.4949849843978882, 0.8873247504234314)",1,"(0.5085084438323975, 0.8511521816253662)",1,2.99591064453125,1,2.803924560546875,1
1.742894172668457,"(0.4980146288871765, 0.8844163417816162)",1,"(0.5061461925506592, 0.8643155097961426)",1,2.983978271484375,1,2.82537841796875,1
1.7595832347869873,"(0.4946020543575287, 0.8898003101348877)",1,"(0.5007522106170654, 0.8761791586875916)",1,2.989959716796875,1,2.8330535888671875,1
1.7766485214233398,"(0.49611133337020874, 0.8943195939064026)",1,"(0.5024807453155518, 0.8757696747779846)",1,2.9883880615234375,1,2.8338623046875,1
1.793224573135376,"(0.5010080933570862, 0.8964730501174927)",1,"(0.5040412545204163, 0.8692419528961182)",1,2.9730072021484375,1,2.8250274658203125,1
1.8096885681152344,"(0.5013459920883179, 0.8893948197364807)",1,"(0.5038266777992249, 0.8667600154876709)",1,2.977294921875,1,2.829925537109375,1
1.8264448642730713,"(0.5046254992485046, 0.8842495083808899)",1,"(0.5032346844673157, 0.8621081709861755)",1,2.9748687744140625,1,2.8098297119140625,1
1.8430404663085938,"(0.5033774971961975, 0.8864529132843018)",1,"(0.5053843259811401, 0.8673545718193054)",1,2.9604339599609375,1,2.813446044921875,1
1.8599143028259277,"(0.5009066462516785, 0.8947744965553284)",1,"(0.5042927265167236, 0.8829089403152466)",1,2.9625091552734375,1,2.8272705078125,1
1.8764140605926514,"(0.4966588318347931, 0.9071483016014099)",1,"(0.5075912475585938, 0.8934072852134705)",1,2.9608917236328125,1,2.832611083984375,1
1.8932712078094482,"(0.49409547448158264, 0.9170995950698853)",1,"(0.5094995498657227, 0.8974388241767883)",1,2.939361572265625,1,2.8094329833984375,1
1.910161018371582,"(0.5000002384185791, 0.9105343818664551)",1,"(0.5059096217155457, 0.889635443687439)",1,2.9354248046875,1,2.7851104736328125,1
1.9264600276947021,"(0.497559517621994, 0.9042678475379944)",1,"(0.5060368776321411, 0.8889337182044983)",1,2.9462432861328125,1,2.7845916748046875,1
1.9433789253234863,"(0.49910831451416016, 0.9269183874130249)",1,"(0.5010971426963806, 0.8881174325942993)",1,2.9569091796875,1,2.762115478515625,1
1.9612338542938232,"(0.5029924511909485, 0.9380514621734619)",1,"(0.49561625719070435, 0.8989071846008301)",1,2.9450225830078125,1,2.75018310546875,1
1.9794161319732666,"(0.5015658140182495, 0.9342318177223206)",1,"(0.49633949995040894, 0.9045433402061462)",1,2.941070556640625,1,2.741790771484375,1
1.9937710762023926,"(0.4985048770904541, 0.9307473301887512)",1,"(0.5039588809013367, 0.9085355997085571)",1,2.93646240234375,1,2.743988037109375,1
2.010416269302368,"(0.4972947835922241, 0.9286952018737793)",1,"(0.5090494155883789, 0.9159272313117981)",1,2.92169189453125,1,2.763763427734375,1
2.027647018432617,"(0.5000746846199036, 0.9332044720649719)",1,"(0.5097115635871887, 0.9110615253448486)",1,2.9163970947265625,1,2.7461090087890625,1
2.043236494064331,"(0.5019538998603821, 0.9329149127006531)",1,"(0.5036202669143677, 0.8989024758338928)",1,2.899505615234375,1,2.7293853759765625,1
2.0600509643554688,"(0.5008273124694824, 0.9249683022499084)",1,"(0.49694114923477173, 0.913201093673706)",1,2.872314453125,1,2.7528839111328125,1
2.0766608715057373,"(0.49915409088134766, 0.9220542907714844)",1,"(0.49964094161987305, 0.9137129187583923)",1,2.873565673828125,1,2.7465667724609375,1
2.0941457748413086,"(0.5018499493598938, 0.9315332770347595)",1,"(0.5063164234161377, 0.9213203191757202)",1,2.877197265625,1,2.73260498046875,1
2.1105401515960693,"(0.5000840425491333, 0.9372392892837524)",1,"(0.5113466382026672, 0.9306219220161438)",1,2.8768463134765625,1,2.731842041015625,1
2.127265453338623,"(0.5028676390647888, 0.9416694641113281)",1,"(0.5139238834381104, 0.9302995800971985)",1,2.8883819580078125,1,2.69818115234375,1
2.1436927318573,"(0.5097835659980774, 0.940682590007782)",1,"(0.5068115592002869, 0.9269459843635559)",1,2.8917236328125,1,2.6876373291015625,1
2.160904884338379,"(0.5057933926582336, 0.9413881897926331)",1,"(0.5092378258705139, 0.9254665970802307)",1,2.88067626953125,1,2.6723480224609375,1
2.1769378185272217,"(0.5006216764450073, 0.9457892179489136)",1,"(0.5134316086769104, 0.9303520321846008)",1,2.877716064453125,1,2.6876220703125,1
2.1937179565429688,"(0.5020323991775513, 0.9474841356277466)",1,"(0.5119063854217529, 0.9266617298126221)",1,2.8941497802734375,1,2.7031097412109375,1
2.210280656814575,"(0.5093783736228943, 0.9512631893157959)",1,"(0.5131385326385498, 0.9192341566085815)",1,2.9053955078125,1,2.7128448486328125,1
2.2275900840759277,"(0.5082495212554932, 0.9550822973251343)",1,"(0.5169258117675781, 0.9074885845184326)",1,2.89849853515625,1,2.69708251953125,1
2.2436532974243164,"(0.5006343722343445, 0.9505440592765808)",1,"(0.5156049132347107, 0.9101091623306274)",1,2.898101806640625,1,2.686370849609375,1
2.260957717895508,"(0.5042881369590759, 0.9431429505348206)",1,"(0.5075150728225708, 0.9211143255233765)",1,2.911285400390625,1,2.74407958984375,1
2.277094841003418,"(0.5085668563842773, 0.9425022602081299)",1,"(0.5033434629440308, 0.9236909747123718)",1,2.9074859619140625,1,2.7584991455078125,1
2.293945550918579,"(0.5065362453460693, 0.9469665288925171)",1,"(0.5117058157920837, 0.9220349192619324)",1,2.91796875,1,2.74114990234375,1
2.3106935024261475,"(0.5098269581794739, 0.944808840751648)",1,"(0.518811047077179, 0.9224824905395508)",1,2.935272216796875,1,2.73779296875,1
2.3271851539611816,"(0.5086517930030823, 0.9413748383522034)",1,"(0.5153518915176392, 0.9230228662490845)",1,2.9347991943359375,1,2.753509521484375,1
2.3434295654296875,"(0.5062976479530334, 0.9386515617370605)",1,"(0.5148444771766663, 0.9181077480316162)",1,2.933380126953125,1,2.749908447265625,1
2.360806941986084,"(0.5088042616844177, 0.942722737789154)",1,"(0.5173287987709045, 0.919659435749054)",1,2.9570159912109375,1,2.7699737548828125,1
2.37717342376709,"(0.5103620886802673, 0.9437403678894043)",1,"(0.5130705833435059, 0.909674346446991)",1,2.9692840576171875,1,2.7651824951171875,1
2.3934872150421143,"(0.5108049511909485, 0.9405001401901245)",1,"(0.518751323223114, 0.9055195450782776)",1,2.949737548828125,1,2.7792510986328125,1
2.4099535942077637,"(0.5122650265693665, 0.9389898180961609)",1,"(0.5208432674407959, 0.9164943099021912)",1,2.948638916015625,1,2.778533935546875,1
2.427079200744629,"(0.513221800327301, 0.943770170211792)",1,"(0.5113770365715027, 0.9335241317749023)",1,2.96612548828125,1,2.7576446533203125,1
2.4438412189483643,"(0.5150909423828125, 0.9489834904670715)",1,"(0.5136220455169678, 0.9284085035324097)",1,2.96435546875,1,2.7564697265625,1
2.460148811340332,"(0.5184744000434875, 0.9491472840309143)",1,"(0.5199403762817383, 0.9115825891494751)",1,2.9785919189453125,1,2.74786376953125,1
2.4767391681671143,"(0.5178908109664917, 0.9478594064712524)",1,"(0.5225161910057068, 0.9110950231552124)",1,2.9888763427734375,1,2.7463226318359375,1
2.4937827587127686,"(0.5196165442466736, 0.9467104077339172)",1,"(0.5166465640068054, 0.926212728023529)",1,2.9973297119140625,1,2.9601287841796875,1
2.5106523036956787,"(0.5249189734458923, 0.9483914971351624)",1,"(0.5227373242378235, 0.9470895528793335)",1,2.9985809326171875,1,2.949249267578125,1
2.5269854068756104,"(0.5290902853012085, 0.9508897066116333)",1,"(0.5386579036712646, 0.9201177954673767)",1,2.99700927734375,1,2.762939453125,1
2.5436012744903564,"(0.52756667137146, 0.9527760744094849)",1,"(0.5418781638145447, 0.909461259841919)",1,3.00006103515625,1,2.7597808837890625,1
2.560303211212158,"(0.527346670627594, 0.9605317711830139)",1,"(0.5350546836853027, 0.9072645902633667)",1,3.0820770263671875,1,2.9309234619140625,1
2.5772554874420166,"(0.5684792995452881, 0.9750999212265015)",1,"(0.5551769137382507, 0.9531900882720947)",1,3.107330322265625,1,2.945526123046875,1
2.5934574604034424,"(0.5722196102142334, 0.9596068859100342)",1,"(0.5667251944541931, 0.9369966387748718)",1,3.0207672119140625,1,2.8053741455078125,1
2.610342025756836,"(0.5752429962158203, 0.9563001990318298)",1,"(0.5723323225975037, 0.9291338920593262)",1,3.0214691162109375,1,2.737335205078125,1
2.627213954925537,"(0.5826248526573181, 0.9576482772827148)",1,"(0.5897642374038696, 0.9319817423820496)",1,3.0104217529296875,1,2.7536468505859375,1
2.643423557281494,"(0.5854896903038025, 0.9572275280952454)",1,"(0.5826080441474915, 0.933631420135498)",1,3.0148468017578125,1,2.827911376953125,1
2.6601881980895996,"(0.5863100290298462, 0.9563238024711609)",1,"(0.582656741142273, 0.9341686964035034)",1,3.0164794921875,1,2.83941650390625,1
2.677076578140259,"(0.5884747505187988, 0.9556767344474792)",1,"(0.5834920406341553, 0.9356111884117126)",1,3.014892578125,1,2.84002685546875,1
2.6937460899353027,"(0.5916292667388916, 0.962865948677063)",1,"(0.5804954171180725, 0.938568115234375)",1,3.1212615966796875,1,2.8347930908203125,1
2.7104270458221436,"(0.5875511169433594, 0.9575117230415344)",1,"(0.5820938348770142, 0.9393271207809448)",1,3.12017822265625,1,2.8320465087890625,1
2.726905584335327,"(0.5953097939491272, 0.9495687484741211)",1,"(0.5889019966125488, 0.9368975162506104)",1,3.0113983154296875,1,2.8200225830078125,1
2.7433626651763916,"(0.5981897711753845, 0.9510137438774109)",1,"(0.5876064300537109, 0.9406202435493469)",1,3.0084075927734375,1,2.856903076171875,1
2.760755777359009,"(0.5961502194404602, 0.9620500802993774)",1,"(0.5837938189506531, 0.9337526559829712)",1,3.1131744384765625,1,2.884368896484375,1
2.7769436836242676,"(0.6038707494735718, 0.9492015838623047)",1,"(0.5836209058761597, 0.9307597875595093)",1,3.140228271484375,1,2.8744354248046875,1
2.7932980060577393,"(0.6038707494735718, 0.9492015838623047)",1,"(0.5629847645759583, 0.9522863030433655)",1,3.140228271484375,1,3.1572418212890625,1
2.81007981300354,"(nan, nan)",0,"(0.5950812697410583, 0.9554170966148376)",1,,0,3.024383544921875,1
2.826788902282715,"(0.6229599118232727, 0.9500229954719543)",1,"(0.6024823188781738, 0.951988160610199)",1,3.004364013671875,1,2.8498992919921875,1
2.843428611755371,"(0.6201742887496948, 0.9559412598609924)",1,"(0.6077196002006531, 0.9446090459823608)",1,3.061492919921875,1,2.8485260009765625,1
2.860290288925171,"(0.617920994758606, 0.9585229754447937)",1,"(0.6121222376823425, 0.9314302206039429)",1,3.079620361328125,1,3.01934814453125,1
2.877092123031616,"(0.6247838139533997, 0.9535861015319824)",1,"(0.5744237303733826, 0.9739855527877808)",1,3.071990966796875,1,3.248382568359375,1
2.893527030944824,"(0.6337118744850159, 0.9514257311820984)",1,"(0.5744237303733826, 0.9739855527877808)",1,3.0787811279296875,1,3.248382568359375,1
2.9103782176971436,"(0.6343509554862976, 0.955420970916748)",1,"(0.629694938659668, 0.9387868642807007)",1,3.0953369140625,1,3.0424957275390625,1
2.926973819732666,"(0.6364807486534119, 0.9645066857337952)",1,"(0.6539142727851868, 0.9375487565994263)",1,3.19586181640625,1,2.8974151611328125,1
2.9435439109802246,"(0.6840712428092957, 0.9425954222679138)",1,"(0.6670317649841309, 0.9341787695884705)",1,3.1599273681640625,1,2.9139862060546875,1
