time,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity,fixation_center,eye_state
0.3437221050262451,"(0.5789262652397156, 0.6776512861251831)",1,"(0.5729391574859619, 0.6803981065750122)",1,3.824783325195313,1,3.2942352294921875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.3605170249938965,"(0.5788216590881348, 0.6784111261367798)",1,"(0.5667539238929749, 0.673121452331543)",1,3.829925537109375,1,3.2778778076171875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.3770899772644043,"(0.5757743120193481, 0.6823399662971497)",1,"(0.5641075372695923, 0.6690502166748047)",1,3.8126220703125,1,3.254913330078125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.3937385082244873,"(0.5735206604003906, 0.6842247247695923)",1,"(0.5639442205429077, 0.6698024272918701)",1,3.8058929443359375,1,3.2567291259765625,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.4103946685791015,"(0.5722792744636536, 0.6823203563690186)",1,"(0.562483549118042, 0.6699753999710083)",1,3.80010986328125,1,3.2478485107421875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.4270622730255127,"(0.5721169710159302, 0.6795478463172913)",1,"(0.5618416666984558, 0.677608072757721)",1,3.798187255859375,1,3.2506866455078125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.4437272548675537,"(0.5726123452186584, 0.6731253862380981)",1,"(0.5641836524009705, 0.682654857635498)",1,3.791259765625,1,3.255401611328125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.4604074954986572,"(0.5712704062461853, 0.6744582056999207)",1,"(0.5630953311920166, 0.6822367310523987)",1,3.78875732421875,1,3.2515106201171875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.476527452468872,"(0.5699074864387512, 0.6761406064033508)",1,"(0.5616977214813232, 0.6804869771003723)",1,3.7826995849609375,1,3.244003295898437,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.4937164783477783,"(0.570871889591217, 0.6748704314231873)",1,"(0.5625197291374207, 0.6748048067092896)",1,3.779876708984375,1,3.2296295166015625,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.5104725360870361,"(0.5711978673934937, 0.6790288686752319)",1,"(0.5621953010559082, 0.6729118227958679)",1,3.7701568603515625,1,3.23095703125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.5272712707519531,"(0.5705991387367249, 0.6822400093078613)",1,"(0.5629406571388245, 0.6762471199035645)",1,3.7537689208984375,1,3.240585327148437,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.543907880783081,"(0.5721690058708191, 0.6762953996658325)",1,"(0.5645767450332642, 0.6828610301017761)",1,3.743209838867188,1,3.225448608398437,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.560572624206543,"(0.5718141198158264, 0.6736024618148804)",1,"(0.5638831853866577, 0.6811739802360535)",1,3.742340087890625,1,3.2171173095703125,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.577272891998291,"(0.569350004196167, 0.6773049235343933)",1,"(0.5610425472259521, 0.6722573041915894)",1,3.740692138671875,1,3.197723388671875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.6089158058166504,"(0.5688329339027405, 0.6776306629180908)",1,"(0.5627310276031494, 0.6716424822807312)",1,3.7306060791015625,1,3.189788818359375,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.61092209815979,"(0.5705263018608093, 0.6761681437492371)",1,"(0.5657514929771423, 0.6762027740478516)",1,3.717941284179688,1,3.195785522460937,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.6272163391113281,"(0.5721429586410522, 0.6739808917045593)",1,"(0.5675427317619324, 0.6772447228431702)",1,3.72088623046875,1,3.190658569335937,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
0.6435785293579102,"(0.5708808898925781, 0.6716558933258057)",1,"(0.5666686296463013, 0.6744471788406372)",1,3.710296630859375,1,3.172576904296875,1,"(0.5850114186604818, 0.6628275096416474)",Fixation
