timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
2023-12-11 18:34:47.046464,"(0.3483598828315735, 0.6849964261054993)",1,"(0.35703593492507935, 0.6659483909606934)",1,3.2972564697265625,1,3.2144317626953125,1
2023-12-11 18:34:47.061741,"(0.34826385974884033, 0.6817189455032349)",1,"(0.357114315032959, 0.6692927479743958)",1,3.30511474609375,1,3.2149658203125,1
2023-12-11 18:34:47.078879,"(0.3472782373428345, 0.6817744374275208)",1,"(0.3556595742702484, 0.6638418436050415)",1,3.31146240234375,1,3.2178192138671875,1
2023-12-11 18:34:47.094954,"(0.3475119173526764, 0.6827003359794617)",1,"(0.35456162691116333, 0.6651586294174194)",1,3.3164520263671875,1,3.223358154296875,1
2023-12-11 18:34:47.111917,"(0.3465418517589569, 0.6836555600166321)",1,"(0.3552699089050293, 0.6669437885284424)",1,3.3316650390625,1,3.23193359375,1
2023-12-11 18:34:47.128534,"(0.3467505872249603, 0.6825870275497437)",1,"(0.3541348874568939, 0.6616703271865845)",1,3.33770751953125,1,3.2370758056640625,1
2023-12-11 18:34:47.145995,"(0.346305251121521, 0.6819639801979065)",1,"(0.3576066493988037, 0.6636075973510742)",1,3.346649169921875,1,3.232086181640625,1
2023-12-11 18:34:47.162417,"(0.3483958840370178, 0.6810315251350403)",1,"(0.3567933738231659, 0.6661877632141113)",1,3.3596343994140625,1,3.2401580810546875,1
2023-12-11 18:34:47.179577,"(0.34801042079925537, 0.6778982877731323)",1,"(0.35566607117652893, 0.6693342328071594)",1,3.3687896728515625,1,3.2538299560546875,1
2023-12-11 18:34:47.196395,"(0.35122808814048767, 0.6787342429161072)",1,"(0.36807337403297424, 0.6570212244987488)",1,3.3801116943359375,1,3.26141357421875,1
2023-12-11 18:34:47.213100,"(0.3595401644706726, 0.6851193904876709)",1,"(0.4218786358833313, 0.6203835606575012)",1,3.3764190673828125,1,3.2798309326171875,1
2023-12-11 18:34:47.229048,"(nan, nan)",0,"(0.48834359645843506, 0.5797551274299622)",1,,0,3.3766021728515625,1
2023-12-11 18:34:47.245694,"(0.6382938027381897, 0.49314603209495544)",1,"(nan, nan)",0,3.4981689453125,1,,0
2023-12-11 18:34:47.262374,"(0.6382938027381897, 0.49314603209495544)",1,"(nan, nan)",0,3.4981689453125,1,,0
